,Budget,Profit
31,160000000,-99344497
32,100000000,-96941620
33,190000000,-96582135
34,130000000,-96407585
35,170000000,-96179906
36,100000000,-95588898
37,200000000,-94780265
38,94000000,-93990787
39,170000000,-93153376
40,92000000,-91973129
41,126000000,-90200974
42,126000000,-90200974
43,90000000,-89809438
44,120000000,-89787380
45,100000000,-88958772
46,190000000,-88214518
47,150000000,-88062505
48,140000000,-87207693
49,98000000,-87000000
50,150000000,-86856188
51,175000000,-86753780
52,110000000,-85995841
53,110000000,-85995841
54,107000000,-84593638
55,107000000,-84593638
56,149000000,-84540684
57,84450000,-83832772
58,200000000,-83406809
59,225000000,-83385977
60,90000000,-83287549
61,130000000,-82603302
62,130000000,-80448338
63,81200000,-79860848
64,95000000,-77823100
65,178000000,-77810499
66,100000000,-76985496
67,150000000,-76896216
68,105000000,-76227778
69,105000000,-76227778
70,120000000,-76070659
71,100000000,-75014388
72,140000000,-74992955
73,140000000,-74992955
74,102000000,-74901420
75,175000000,-74710310
76,200000000,-74679997
77,115000000,-74088170
78,135000000,-71007672
79,86000000,-70868670
80,80000000,-69833498
81,75000000,-69590483
82,130000000,-69477903
83,70000000,-69382160
84,112000000,-69223741
85,150000000,-67838031
86,115000000,-67047980
87,84000000,-66989354
88,150000000,-66359574
89,155000000,-65267965
90,100000000,-64975525
91,80000000,-64928486
92,65000000,-64927587
93,100000000,-64831323
94,70000000,-64148812
95,120000000,-63885779
96,120000000,-63885779
97,70000000,-62902875
98,165000000,-62684455
99,90000000,-62643910
100,80000000,-62406609
101,200000000,-62149904
102,80000000,-61682000
103,130000000,-61357548
104,87000000,-60917086
105,80000000,-60519261
106,75000000,-60432117
107,80000000,-60326576
108,60000000,-59977549
109,110000000,-59973647
110,100000000,-59801290
111,71000000,-59533912
112,60000000,-59331829
113,260000000,-59192738
114,80000000,-59049180
115,135000000,-57435963
116,80000000,-56780252
117,90000000,-56425668
118,70000000,-56403089
119,170000000,-56254592
120,150000000,-56073614
121,180000000,-55948241
122,180000000,-55948241
123,70000000,-55705158
124,60000000,-55464883
125,120000000,-55263886
126,65000000,-54985766
127,75000000,-54684676
128,185000000,-54531374
129,100000000,-53559509
130,70000000,-52781920
131,70000000,-52526755
132,60000000,-52394332
133,85000000,-52305212
134,75000000,-52248021
135,135000000,-51975100
136,65000000,-51249444
137,70000000,-51178721
138,70000000,-51009458
139,65000000,-50781132
140,90000000,-50707978
141,155000000,-50616376
142,100000000,-50607905
143,105000000,-50299935
144,57000000,-50231945
145,70000000,-50180506
146,52000000,-50108179
147,88000000,-50100362
148,76000000,-49999390
149,50000000,-49976894
150,200000000,-49649808
151,50000000,-49300000
152,55000000,-49244714
153,116000000,-48844258
154,107000000,-48816034
155,50000000,-48793865
156,132000000,-48651080
157,110000000,-48343151
158,54000000,-48339916
159,60000000,-48197944
160,50000000,-48012713
161,60000000,-47934015
162,50000000,-47824688
163,50000000,-47791061
164,55000000,-47778542
165,70000000,-47468302
166,82000000,-47456299
167,105000000,-47362515
168,55000000,-47128307
169,80000000,-47114435
170,60000000,-46917712
171,70000000,-46840695
172,55000000,-46644185
173,60000000,-46604061
174,225000000,-45979146
175,65000000,-45940982
176,82000000,-45618284
177,55000000,-45516179
178,65000000,-45451936
179,80000000,-45433254
180,90000000,-45393665
181,75000000,-44986654
182,85000000,-44951668
183,245000000,-44925825
184,45000000,-44854891
185,72000000,-44203958
186,95000000,-44197339
187,110000000,-43997807
188,80000000,-43926768
189,77000000,-43798339
190,50000000,-43708398
191,50000000,-43528606
192,56000000,-43129431
193,86000000,-43122835
194,45000000,-42845460
195,145000000,-42823835
196,60000000,-42718168
197,100000000,-42633738
198,90000000,-42525888
199,44000000,-42500000
200,60000000,-41791922
201,100000000,-41779224
202,175000000,-41771652
203,145000000,-41599308
204,57000000,-41472875
205,80000000,-41457582
206,85000000,-41424284
207,47000000,-41400000
208,100000000,-41392993
209,100000000,-41392993
210,100000000,-41132306
211,60000000,-40923185
212,47000000,-40832183
213,76000000,-40713572
214,59660000,-40712370
215,117000000,-40581346
216,80000000,-40557129
217,60000000,-40554783
218,45000000,-40415114
219,60000000,-40218121
220,50000000,-40204983
221,57000000,-40008098
222,40000000,-39871022
223,50000000,-39862768
224,70000000,-39842984
225,50000000,-39600000
226,40000000,-39488080
227,50000000,-39443804
228,72000000,-39383131
229,90000000,-39371991
230,40000000,-39347474
